timeOfWeek, lla0,lla1,lla2,ned0,ned1,ned2,theta0,theta1,theta2
206632.297, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.337, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.377, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.417, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.457, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.497, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.537, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.577, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.617, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.657, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.697, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.737, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.777, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.817, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.857, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.897, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.937, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206632.977, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.017, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.057, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.097, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.137, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.177, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.217, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.257, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.297, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
206633.337, 59.3480319, 18.0692740, 108.83, 1041.925049, -2142.650879, -77.630951,  -3.2,  -3.4,   7.9
