_ID_,dt,status,theta1[0],theta1[1],theta1[2],theta2[0],theta2[1],theta2[2],time,vel1[0],vel1[1],vel1[2],vel2[0],vel2[1],vel2[2]
5,0.00400000019,0,1.61637163e-05,1.15241683e-05,-1.25934921e-05,5.13569557e-06,9.3865965e-06,3.95876741e-05,1300.5210561535787,0.000489993719,-0.000707694388,-0.0390074365,0.00023325799,-0.0005085874,-0.0389895365
13,0.00400000019,0,1.09672355e-05,1.01112309e-05,2.66592065e-06,5.94520816e-06,1.22533411e-05,3.19470782e-05,1300.5250561537687,0.000309393479,-0.00051969022,-0.0390112959,0.000192074309,-0.00049944286,-0.0388371199
19,0.00400000019,0,8.65888433e-06,1.06122125e-05,-8.30276804e-06,1.73012359e-05,7.25614109e-06,2.38071461e-05,1300.5290561539587,0.000358284538,-0.000668024994,-0.0391844027,0.000201600807,-0.000642771251,-0.0389534011
27,0.00400000019,0,1.60443487e-05,1.19139604e-05,1.30945555e-05,1.18905211e-06,8.19722482e-06,3.11017902e-05,1300.5490561549086,0.000230533929,-0.00075728778,-0.0390887111,0.00015554532,-0.000810772472,-0.0389924608
33,0.00400000019,0,1.02575332e-05,1.5432428e-05,-6.97046607e-06,8.80190964e-06,9.23735024e-06,3.03580618e-05,1300.5530561550986,0.00029442244,-0.000731159176,-0.0389828496,0.000124543672,-0.000749745814,-0.0390308201
41,0.00400000019,0,2.48225751e-05,1.82784879e-05,6.76480204e-06,1.21417761e-05,-4.09026961e-06,3.87829205e-05,1300.5570561552886,0.000291484728,-0.000662427279,-0.0389158539,0.000131800029,-0.000745445606,-0.0389774591
47,0.00400000019,0,8.44802162e-06,1.83222855e-05,-5.09738038e-06,-1.30173567e-06,1.05461841e-05,2.52211703e-05,1300.5610561554786,0.000283672067,-0.000788921025,-0.0390791111,3.57797217e-05,-0.000628995476,-0.0390636921
56,0.00400000019,0,-1.0763415e-06,-8.5411657e-06,-3.51422023e-06,-5.60614694e-07,-1.113748e-06,3.25709552e-05,1300.5650561556686,0.00027545105,-0.000661222846,-0.0389127173,8.3888619e-05,-0.000553217891,-0.0390329212
62,0.00400000019,0,7.97272605e-06,1.43145789e-05,-3.38124937e-06,1.37738998e-05,1.40882621e-05,2.85323222e-05,1300.5690561558586,0.00023670966,-0.000676366792,-0.0391556509,0.00010761639,-0.000601194042,-0.0389312394
69,0.00400000019,0,1.00880288e-05,1.42381914e-05,-1.33913418e-05,3.5733558e-06,6.26058818e-06,3.14836725e-05,1300.5730561560486,0.000209110309,-0.000600692292,-0.0390936807,0.000182644144,-0.000587931485,-0.039112512
77,0.00400000019,0,1.53326312e-06,4.54661404e-07,-1.7043709e-06,9.20719958e-06,4.95052109e-06,3.04795867e-05,1300.5770561562385,0.00021799517,-0.000633519492,-0.0390700474,0.000152356763,-0.000491840357,-0.0390926376
83,0.00400000019,0,1.11715144e-05,3.19515766e-06,-3.91161166e-06,1.6016158e-05,3.87932914e-06,3.89756751e-05,1300.5810561564285,0.000358320714,-0.00054844009,-0.0390963927,7.04252452e-05,-0.000514518993,-0.0390361995
